species_sci,oila,turkum,introduced_flag,izoh
Amaranthus caudatus L.,Amaranthaceae,Amaranthus,1,GBIF asl nomi: Amaranthus caudatus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Amaranthus cruentus L.,Amaranthaceae,Amaranthus,1,GBIF asl nomi: Amaranthus cruentus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Amaranthus viridis L.,Amaranthaceae,Amaranthus,1,GBIF asl nomi: Amaranthus viridis L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Allium cepa L.,Amaryllidaceae,Allium,1,GBIF asl nomi: Allium cepa L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cotinus coggygria Scop.,Anacardiaceae,Cotinus,1,GBIF asl nomi: Cotinus coggygria Scop.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Ferula assa-foetida L.,Apiaceae,Ferula,1,GBIF asl nomi: Ferula assa-foetida L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Hosta plantaginea (Lam.) Asch.,Asparagaceae,Hosta,1,GBIF asl nomi: Hosta plantaginea (Lam.) Asch.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Hemerocallis fulva (L.) L.,Asphodelaceae,Hemerocallis,1,GBIF asl nomi: Hemerocallis fulva (L.) L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Ageratum houstonianum Mill.,Asteraceae,Ageratum,1,GBIF asl nomi: Ageratum houstonianum Mill.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Callistephus chinensis (L.) Nees,Asteraceae,Callistephus,1,GBIF asl nomi: Callistephus chinensis (L.) Nees; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Coreopsis tinctoria Nutt.,Asteraceae,Coreopsis,1,GBIF asl nomi: Coreopsis tinctoria Nutt.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cosmos bipinnatus Cav.,Asteraceae,Cosmos,1,GBIF asl nomi: Cosmos bipinnatus Cav.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cosmos sulphureus Cav.,Asteraceae,Cosmos,1,GBIF asl nomi: Cosmos sulphureus Cav.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Gaillardia pulchella Foug.,Asteraceae,Gaillardia,1,GBIF asl nomi: Gaillardia pulchella Foug.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Helianthus tuberosus L.,Asteraceae,Helianthus,1,GBIF asl nomi: Helianthus tuberosus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Lactuca sativa L.,Asteraceae,Lactuca,1,GBIF asl nomi: Lactuca sativa L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Rudbeckia laciniata L.,Asteraceae,Rudbeckia,1,GBIF asl nomi: Rudbeckia laciniata L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Symphyotrichum novae-angliae (L.) G.L.Nesom,Asteraceae,Symphyotrichum,1,GBIF asl nomi: Symphyotrichum novae-angliae (L.) G.L.Nesom; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Tagetes erecta L.,Asteraceae,Tagetes,1,GBIF asl nomi: Tagetes erecta L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Tanacetum parthenium (L.) Sch.Bip.,Asteraceae,Tanacetum,1,GBIF asl nomi: Tanacetum parthenium (L.) Sch.Bip.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Xanthium orientale L.,Asteraceae,Xanthium,1,GBIF asl nomi: Xanthium orientale L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Zinnia elegans Jacq.,Asteraceae,Zinnia,1,GBIF asl nomi: Zinnia elegans Jacq.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Impatiens balsamina L.,Balsaminaceae,Impatiens,1,GBIF asl nomi: Impatiens balsamina L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Berberis thunbergii DC.,Berberidaceae,Berberis,1,GBIF asl nomi: Berberis thunbergii DC.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Berberis aquifolium Pursh,Berberidaceae,Mahonia,1,GBIF asl nomi: Mahonia aquifolium (Pursh) Nutt.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Brassica napus L.,Brassicaceae,Brassica,1,GBIF asl nomi: Brassica napus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Bunias orientalis L.,Brassicaceae,Bunias,1,GBIF asl nomi: Bunias orientalis L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Camelina sativa (L.) Crantz,Brassicaceae,Camelina,1,GBIF asl nomi: Camelina sativa (L.) Crantz; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cardamine occulta Hornem.,Brassicaceae,Cardamine,1,GBIF asl nomi: Cardamine occulta Hornem.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Sisymbrium orientale L.,Brassicaceae,Sisymbrium,1,GBIF asl nomi: Sisymbrium orientale L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
