species_sci,oila,turkum,sinf,tartib,gbif_asl_nomi,sana,manba
Atriplex lasiantha Boiss.,Amaranthaceae,Atriplex,Magnoliopsida,Caryophyllales,Atriplex lasiantha Boiss.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Atriplex pratovii Sukhor.,Amaranthaceae,Atriplex,Magnoliopsida,Caryophyllales,Atriplex pratovii Sukhor.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Chenopodium betaceum Andrz.,Amaranthaceae,Chenopodium,Magnoliopsida,Caryophyllales,Chenopodium betaceum Andrz.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Chenopodium ficifolium Sm.,Amaranthaceae,Chenopodium,Magnoliopsida,Caryophyllales,Chenopodium ficifolium Sm.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Climacoptera korshinskyi (Drobow) Botsch.,Amaranthaceae,Climacoptera,Magnoliopsida,Caryophyllales,Climacoptera korshinskyi (Drobow) Botsch.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Oreosalsola laricifolia (Litv. ex Drobow) Akhani,Amaranthaceae,Oreosalsola,Magnoliopsida,Caryophyllales,Oreosalsola laricifolia (Litv. ex Drobow) Akhani,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Pyankovia affinis (C.A.Mey. ex Schrenk) Mosyakin & Roalson,Amaranthaceae,Pyankovia,Magnoliopsida,Caryophyllales,Pyankovia affinis (C.A.Mey. ex Schrenk) Mosyakin & Roalson,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Salicornia perennans Willd.,Amaranthaceae,Salicornia,Magnoliopsida,Caryophyllales,Salicornia perennans Willd.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Salicornia persica Akhani,Amaranthaceae,Salicornia,Magnoliopsida,Caryophyllales,Salicornia persica Akhani,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Allium scabriscapum Boiss.,Amaryllidaceae,Allium,Liliopsida,Asparagales,Allium scabriscapum Boiss.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Aulacospermum multicaule Pimenov & Tojibaev,Apiaceae,Aulacospermum,Magnoliopsida,Apiales,Aulacospermum multicaule Pimenov & Tojibaev,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Elwendia cylindrica (Boiss. & Hausskn.) Pimenov & Kljuykov,Apiaceae,Elwendia,Magnoliopsida,Apiales,Elwendia cylindrica (Boiss. & Hausskn.) Pimenov & Kljuykov,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Ferula jaeschkeana Vatke,Apiaceae,Ferula,Magnoliopsida,Apiales,Ferula jaeschkeana Vatke,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Heracleum dissectum Ledeb.,Apiaceae,Heracleum,Magnoliopsida,Apiales,Heracleum dissectum Ledeb.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Neogaya simplex (L.) Meisn.,Apiaceae,Pachypleurum,Magnoliopsida,Apiales,Pachypleurum mutellinoides (Crantz) Holub,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Seseli talassicum (Korovin) Pimenov & Sdobnina,Apiaceae,Seseli,Magnoliopsida,Apiales,Seseli talassicum (Korovin) Pimenov & Sdobnina,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Achillea tenuifolia Lam.,Asteraceae,Achillea,Magnoliopsida,Asterales,Achillea tenuifolia Lam.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Allardia stoliczkae C.B.Clarke,Asteraceae,Allardia,Magnoliopsida,Asterales,Allardia stoliczkae C.B.Clarke,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Allardia tridactylites (Kar. & Kir.) Sch.Bip.,Asteraceae,Allardia,Magnoliopsida,Asterales,Allardia tridactylites (Kar. & Kir.) Sch.Bip.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Arctium lappa L.,Asteraceae,Arctium,Magnoliopsida,Asterales,Arctium lappa L.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Arctium pentacanthum (Regel & Schmalh.) Kuntze,Asteraceae,Arctium,Magnoliopsida,Asterales,Arctium pentacanthum (Regel & Schmalh.) Kuntze,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Artemisia arenaria DC.,Asteraceae,Artemisia,Magnoliopsida,Asterales,Artemisia arenaria DC.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Artemisia gmelinii Weber ex Stechm.,Asteraceae,Artemisia,Magnoliopsida,Asterales,Artemisia gmelinii Weber ex Stechm.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
Artemisia macrantha Ledeb.,Asteraceae,Artemisia,Magnoliopsida,Asterales,Artemisia macrantha Ledeb.,2026-08-25,GBIF species list 0035702-260806074905277 + WCVP UZB tarqalish
