fayldagi_nom,tuzatilgan_nom,izoh
Calligonum caputi-medusae Schrenk,Calligonum caput-medusae Schrenk,Terish xatosi: caputi- -> caput-
Potamogeton filaformis Pers.,Potamogeton filiformis Pers.,Terish xatosi: filaformis -> filiformis
Ephedra strobilaceae Bunge,Ephedra strobilacea Bunge,Terish xatosi: strobilaceae -> strobilacea
Eremopyrum buonapartis (Spreng.) Nevski,Eremopyrum bonaepartis (Spreng.) Nevski,Terish xatosi: buonapartis -> bonaepartis
Lepidium cortilagineum (J. Mayer) Thell.,Lepidium cartilagineum (J. Mayer) Thell.,Terish xatosi: cortilagineum -> cartilagineum
Eremosparton laccidum Litv.,Eremosparton flaccidum Litv.,Terish xatosi: laccidum -> flaccidum
Chenopodium filicifolium Smith,Chenopodium ficifolium Smith,Terish xatosi: filicifolium -> ficifolium
Astragalus unifolialatus Bunge,Astragalus unifoliolatus Bunge,Terish xatosi: unifolialatus -> unifoliolatus
Daucus sativis (Hoffm.) Rochl.,Daucus sativus (Hoffm.) Rochl.,Terish xatosi: sativis -> sativus
Sorgum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Turkum imlosi: Sorgum -> Sorghum
Sorgum cernuum (Ard.) Host,Sorghum cernuum (Ard.) Host,Turkum imlosi: Sorgum -> Sorghum
Sorgum sudanense (Piper) Stapf,Sorghum sudanense (Piper) Stapf,Turkum imlosi: Sorgum -> Sorghum
Setaria glauca (L.) Beauv.,Setaria pumila (Poir.) Roem. & Schult.,"Noto'g'ri qo'llanilgan nom (auct. non L.): S. glauca (L.) Beauv. nomenklatura bo'yicha = Cenchrus americanus (Panicum glaucum L. 1753 tipi marvarid tariq), lekin XX asr sovet floralarida 'Setaria glauca' begona o't S. pumila ni bildirgan; qoraqalpoqcha 'пшыккуйрык' ham begona o't nomi"
Psammogeton setifolium (Boiss.) Boiss.,Cuminum setifolium (Boiss.) Koso-Pol.,"Turkum ko'chirilgan: Psammogeton Edgew. zamonaviy tasnifda Cuminum ichida, epitet o'zgarmagan; bazada Cuminum setifolium (id 6447) bor. POWO fuzzy qidiruvi xato 'Cuminum cyminum' qaytargan (madaniy zira) - e'tiborga olinmaydi"
Psammogeton borszczovii (Rgl. et Schmalh.) Lipsky,Psammogeton borszczowii (Rgl. et Schmalh.) Lipsky,"Familiya imlosi: Borszczow -> borszczowii ('w' bilan); xuddi shu xato Acanthophyllum/Allium qatorlarida ham bor edi"
Horaninowia sogdiana Blag.,Horaninovia sogdiana Blag.,"Turkum imlosi: Horaninovia Fisch. & C.A.Mey. ('v' bilan, 'w' emas)"
Nanophyton sibirica (Pall.) Bunge,Nanophyton sibiricum (Pall.) Bunge,"Jins muvofiqligi: Nanophyton o'rta jins, sifat -um bo'lishi kerak (sibirica -> sibiricum)"
Tamarix smirnensis Bunge,Tamarix smyrnensis Bunge,"Terish xatosi: Smyrna (Izmir) shahridan -> smyrnensis"
Zygophyllum fabago L. var. oxianum (Boriss.) Kitam.,Zygophyllum oxianum Boriss.,"Infratur -> tur rangi: var. oxianum (Boriss.) Kitam. zamonaviy tasnifda mustaqil tur Zygophyllum oxianum Boriss. (aynan bir epitet + bazionim muallifi); bazada bor (id 6312). Matcher faqat turkum+tur epitetini oladi, shuning uchun avval topilmagan"
