lotincha_nom,qoraqalpoqcha_nom,manba
Alcea rosea L.,гулкайры,Шербаев 1988
Allium cepa L.,пияз,Шербаев 1988
Cucurbita maxima Duch.,карааскабак,Шербаев 1988
Cucurbita moschata (Duch.) Poir.,палаукабак,Шербаев 1988
Cucurbita pepo L.,аскабак,Шербаев 1988
Cucurbita turbaniformis (M.Roem.) Vass.,сэлле кабак,Шербаев 1988
Daucus sativus (Hoffm.) Rochl.,егис гешир,Шербаев 1988
Fragaria moschata Duch.,кулупнай,Шербаев 1988
Iris germanica L.,каракас,Шербаев 1988
Lagenaria vulgaris Ser.,суу кабак,Шербаев 1988
Mirabilis jalapa L.,намазшамгул,Шербаев 1988
Ocimum basilicum L.,назбаигул,Шербаев 1988
Oryza sativa L.,салы,Шербаев 1988
Panicum miliaceum L.,тары,Шербаев 1988
Papaver somniferum L.,кокнар,Шербаев 1988
Phaseolus aureus Roxb.,маш,Шербаев 1988
Phaseolus vulgaris L.,лобия,Шербаев 1988
Rosa damascena Mill.,атиргуль,Шербаев 1988
Sorghum bicolor (L.) Moench,"жасымык жууери, найман жууери",Шербаев 1988
Sorghum cernuum (Ard.) Host,бои жууери,Шербаев 1988
Sorghum sudanense (Piper) Stapf,судан оты,Шербаев 1988
Triticum aestivum L.,жазлык бийдай,Шербаев 1988
