lotincha_nom,qoraqalpoqcha_nom,manba
Abutilon theophrasti Medik.,"бесбидай, бесбийдай, жин бийдай",Ережепов 1978 + Шербаев 1988
Acanthophyllum borszczowii Litv.,"козыткен, шынышап",Ережепов 1978 + Шербаев 1988
Acanthophyllum korolkovii Rgl. et Schmalh.,козыткен,Ережепов 1978
Acanthophyllum krascheninnikovii Schischk.,козыткен,Ережепов 1978
Achnatherum splendens (Trin.) Nevski,жезши,Ережепов 1978
Acroptilon repens (L.) DC.,кекре,Ережепов 1978
Aellenia subaphylla (C. A. Mey.) Aell.,чогон,Ережепов 1978
Aeluropus lagopoides (L.) Trin.,"ажрык, ажырык",Ережепов 1978 + Шербаев 1988
Aeluropus littoralis (Gouan) Parl.,"ажрык, ажырык",Ережепов 1978 + Шербаев 1988
Aeluropus repens (Desf.) Parl.,ажрык,Ережепов 1978
Agropyron desertorum (Fisch. ex Link) Schult.,"бидаык, бийдайык",Ережепов 1978 + Шербаев 1988
Agropyron fragile (Roth.) Nevski,"бидаык, бийдайык",Ережепов 1978 + Шербаев 1988
Alcea rosea L.,гулкайры,Шербаев 1988
Alhagi canescens Shap.,жантак,Ережепов 1978
Alhagi persarum Boiss. et Buhse,жантак,Ережепов 1978
Alhagi pseudalhagi (Bieb.) Desv.,жантак,Ережепов 1978
Alhagi sparsifolia Shap.,жантак,Ережепов 1978
Allium baissunense Lipsky,"ирижуа, таупияз",Ережепов 1978
Allium borszczowii Rgl.,"жуа, жууа",Ережепов 1978 + Шербаев 1988
Allium bucharicum Rgl.,"жуа, жууа",Ережепов 1978 + Шербаев 1988
Allium caeruleum Pall.,жууа,Шербаев 1988
Allium caspium (Pall.) Bieb.,жууа,Шербаев 1988
Allium cepa L.,пияз,Шербаев 1988
Allium coeruleum Pall.,жуа,Ережепов 1978
Allium sabulosum Stev.,жуа,Ережепов 1978
Allium stephanophorum Vved.,жуа,Ережепов 1978
Ammodendron conollyi Bunge,коянсуйек,Ережепов 1978
Ammodendron floribundum Zing.,коянсуйек,Ережепов 1978
Ammodendron karelinii Fisch. et Mey.,коянсуйек,Ережепов 1978
Ammodendron longiracemosum Raik.,коянсуйек,Ережепов 1978
Ammolirion inderiense (Bieb.) Rgl.,ширеш,Ережепов 1978
Anabasis aphylla L.,итсигек,Ережепов 1978 + Шербаев 1988
Anabasis eriopoda (Schrenk) Benth. ex Volkens,"кыркбуын, кырксадак",Ережепов 1978 + Шербаев 1988
Anabasis salsa (C. A. Mey.) Benth. ex Volkens,"биургун, бюргун",Ережепов 1978 + Шербаев 1988
Anisantha tectorum Nevski,жалтырбас,Ережепов 1978
Apocynum scabrum Russan.,кызыл кендир,Шербаев 1988
Arctium leiospermum Juz.,жапрак,Ережепов 1978
Argusia sibirica (L.) Dandy,тасбака жууери,Шербаев 1988
Aristida plumosa L.,селеу,Ережепов 1978
Arnebia decumbens (Vent.) Coss. et Kral.,кзылтамыр,Ережепов 1978
Artemisia diffusa Krasch.,акжусан,Ережепов 1978
