lotincha_nom,qoraqalpoqcha_nom,manba,hal_qilingan_nom,qaysi_bosqich
Abutilon theophrasti Medik.,"бесбидай, бесбийдай, жин бийдай",Ережепов 1978 + Шербаев 1988,,2-bosqich
Acanthophyllum borszczowii Litv.,"козыткен, шынышап",Ережепов 1978 + Шербаев 1988,,1-bosqich
Acanthophyllum korolkovii Rgl. et Schmalh.,козыткен,Ережепов 1978,,1-bosqich
Acanthophyllum krascheninnikovii Schischk.,козыткен,Ережепов 1978,,1-bosqich
Achnatherum splendens (Trin.) Nevski,жезши,Ережепов 1978,,1-bosqich
Acroptilon repens (L.) DC.,кекре,Ережепов 1978,,1-bosqich
Aellenia subaphylla (C. A. Mey.) Aell.,чогон,Ережепов 1978,Halothamnus subaphyllus,4-bosqich
Aeluropus lagopoides (L.) Trin.,"ажрык, ажырык",Ережепов 1978 + Шербаев 1988,,2-bosqich
Aeluropus littoralis (Gouan) Parl.,"ажрык, ажырык",Ережепов 1978 + Шербаев 1988,,1-bosqich
Aeluropus repens (Desf.) Parl.,ажрык,Ережепов 1978,,1-bosqich
Agropyron desertorum (Fisch. ex Link) Schult.,"бидаык, бийдайык",Ережепов 1978 + Шербаев 1988,,1-bosqich
Agropyron fragile (Roth.) Nevski,"бидаык, бийдайык",Ережепов 1978 + Шербаев 1988,,1-bosqich
Alcea rosea L.,гулкайры,Шербаев 1988,,
Alhagi canescens Shap.,жантак,Ережепов 1978,,1-bosqich
Alhagi persarum Boiss. et Buhse,жантак,Ережепов 1978,,1-bosqich
Alhagi pseudalhagi (Bieb.) Desv.,жантак,Ережепов 1978,,1-bosqich
Alhagi sparsifolia Shap.,жантак,Ережепов 1978,,
Allium baissunense Lipsky,"ирижуа, таупияз",Ережепов 1978,,1-bosqich
Allium borszczowii Rgl.,"жуа, жууа",Ережепов 1978 + Шербаев 1988,,1-bosqich
Allium bucharicum Rgl.,"жуа, жууа",Ережепов 1978 + Шербаев 1988,,1-bosqich
Allium caeruleum Pall.,жууа,Шербаев 1988,,1-bosqich
Allium caspium (Pall.) Bieb.,жууа,Шербаев 1988,,1-bosqich
Allium cepa L.,пияз,Шербаев 1988,,
Allium coeruleum Pall.,жуа,Ережепов 1978,,1-bosqich
Allium sabulosum Stev.,жуа,Ережепов 1978,,1-bosqich
Allium stephanophorum Vved.,жуа,Ережепов 1978,,1-bosqich
Ammodendron conollyi Bunge,коянсуйек,Ережепов 1978,,1-bosqich
Ammodendron floribundum Zing.,коянсуйек,Ережепов 1978,,
Ammodendron karelinii Fisch. et Mey.,коянсуйек,Ережепов 1978,,1-bosqich
Ammodendron longiracemosum Raik.,коянсуйек,Ережепов 1978,Ammodendron karelinii,4-bosqich
Ammolirion inderiense (Bieb.) Rgl.,ширеш,Ережепов 1978,Eremurus inderiensis,4-bosqich
Anabasis aphylla L.,итсигек,Ережепов 1978 + Шербаев 1988,,1-bosqich
Anabasis eriopoda (Schrenk) Benth. ex Volkens,"кыркбуын, кырксадак",Ережепов 1978 + Шербаев 1988,,1-bosqich
Anabasis salsa (C. A. Mey.) Benth. ex Volkens,"биургун, бюргун",Ережепов 1978 + Шербаев 1988,,1-bosqich
