division_lat,division_ru,class_lat,class_ru,order_lat,order_ru,family_lat,family_ru,family_takhtajan,genus_lat,genus_ru,species_sci,species_ru,species_uz,plantarium_url,life_form,habitat_env,habitat_place,usage,range_world,range_central_asia,range_uzbekistan,endemism,protected_areas,red_book,life_form_ru,life_form_en,habitat_place_ru,habitat_place_en,usage_ru,usage_en
EQUISETOPHYTA,ХВОЩЕОБРАЗНЫЕ (ХВОЩЕВИДНЫЕ),Equisetopsida,Хвощовые (Хвощевые),Equisetales,Хвощовые (Хвощевые),Equisetaceae,Хвощевые,Equisetaceae,Equisetum L.,Хвощ,Equisetum arvense L.,хвощ полевой,dala qirqbo'g'imi,http://www.plantarium.ru/page/view/item/14673.html,ko'p yillik,"suv havzalari qirg'oqlari, botqoqlar, sazliklar, zax joylar","tekislik, tog'oldi, past tog'lar",dorivor,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Butun O'rta Osiyo bo'ylab, Kopetdog'da kamdan-kam","Butun O'zbekiston bo'ylab, suvsiz cho'l hududlaridan tashqari",,"Hisor, Zomin, Zarafshon, Kitob, Nurota, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'lari",false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains",лекарственное,medicinal
EQUISETOPHYTA,ХВОЩЕОБРАЗНЫЕ (ХВОЩЕВИДНЫЕ),Equisetopsida,Хвощовые (Хвощевые),Equisetales,Хвощовые (Хвощевые),Equisetaceae,Хвощевые,Equisetaceae,Equisetum L.,Хвощ,Equisetum hyemale L.,хвощ зимующий,qishlovchi qirqbo'g'im,http://www.plantarium.ru/page/view/item/14678.html,ko'p yillik,"botqoqlar, sazliklar, zax joylar",o'rta tog'lar,dorivor,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Tarbag'atoy, Jung'or Olatovi, sharqiy va markaziy Tyanshan",Piskom tizmasi,,Ugom-Chotqol milliy tabiat bog'i,false,многолетнее,perennial,среднегорья,mid mountains,лекарственное,medicinal
EQUISETOPHYTA,ХВОЩЕОБРАЗНЫЕ (ХВОЩЕВИДНЫЕ),Equisetopsida,Хвощовые (Хвощевые),Equisetales,Хвощовые (Хвощевые),Equisetaceae,Хвощевые,Equisetaceae,Equisetum L.,Хвощ,Equisetum ramosissimum Desf.,хвощ ветвистый,"shoxlangan qirqbo'g'im, tarnovcho'p",http://www.plantarium.ru/page/view/item/14689.html,ko'p yillik,"suv havzalari qirg'oqlari, botqoqlar, sazliklar, zax joylar, sholipoyalar","tekislik, tog'oldi, past tog'lar","dorivor, yem-xashakbop",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),Butun O'rta Osiyo bo'ylab,"Butun O'zbekiston bo'ylab, suvsiz cho'l hududlaridan tashqari",,"Hisor, Zomin, Zarafshon, Kitob, Qizilqum, Nurota, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'lari, Quyi Amudaryo biosfera rezervati",false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains","лекарственное, кормовое","medicinal, fodder"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Psilotopsida,Псилотовые,Ophioglossales,Ужовниковые,Ophioglossaceae,Ужовниковые,Ophioglossaceae,Ophioglossum L.,Ужовник,Ophioglossum bucharicum O. Fedtsch. & B. Fedtsch.,ужовник бухарский,Buxoro ilontili,,ko'p yillik,to'qaylar,tekislik,foydalanilmaydi,O'rta Osiyo (janubiy qismi),"vodiy d. Pyanj (Mitek - to'qaylar orasida tomon. tomon. Sayat va Chubek), vodiy d. Amudaryo (mavze Xatin-rabat, 20 km yuqorisida sh. Termiz, yuqorisida sh. Kerki)",vodiy d. Amudaryo yaqinida sh. Termiz,O'rta Osiyo endemigi,yo'q,false,многолетнее,perennial,равнина,plain,не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Psilotopsida,Псилотовые,Ophioglossales,Ужовниковые,Ophioglossaceae,Ужовниковые,Ophioglossaceae,Ophioglossum L.,Ужовник,Ophioglossum vulgatum L.,ужовник обыкновенный,oddiy ilontili,http://www.plantarium.ru/page/view/item/25592.html,ko'p yillik,"suv havzalari qirg'oqlari, botqoqlar, zax joylar","tekislik, tog'oldi, past tog'lar",foydalanilmaydi,"Yevropa, G'arbiy Sibir, Uzoq Sharq, Kavkaz, O'rta Osiyo, Shimoliy Afrika","Tyanshan (vodiy d. Talas: atrofi q. Grodekovo, tog'lari Ak-tekenda, d. Kunduzdi, Farg'ona tizmasi: d. Kugart, yaqinida q. Taran-bazar, atrofi sh. Toshkent), Pomir-Oloy (Zarafshon tizmasi, yuqori oqimi d. Ayakchi) Tarqoq holda.","atrofi sh. Toshkent, g'arbiy qismi Zarafshon tizmasi",,yo'q,false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains",не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Psilotopsida,Псилотовые,Ophioglossales,Ужовниковые,Ophioglossaceae,Ужовниковые,Ophioglossaceae,Botrychium Sw.,Гроздовик,Botrychium lunaria (L.) Sw.,гроздовик полулунный,yarimoy ro'vako't,http://www.plantarium.ru/page/view/item/6769.html,ko'p yillik,"o'tloqlar, morenalar","o'rta tog'lar, baland tog'lar",foydalanilmaydi,"Yevropa, g'arbiy, shimoliy, O'rta Osiyo, Markaziy Osiyo, shimoliy va Janubiy Amerika, Avstraliya","Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy","tizmalari Ugom, Piskom, Maydontol, Chotqol, Turkiston, Zarafshon, Hisor, Ko'hitang",,"Hisor, Zomin, Surxon qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'lari",false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,"Cystopteridaceae (Woodsiaceae, Athyriaceae)","Пузырниковые (Вудсиевые, Кочедыжниковые)",Polypodiaceae,Cystopteris Berh.,Пузырник,Cystopteris fragilis (L.) Bernh.,пузырник ломкий,mo'rt pufakquloq,http://www.plantarium.ru/page/view/item/12413.html,ko'p yillik,nam va soya joylar,"past tog'lar, o'rta tog'lar",foydalanilmaydi,"Yevropa, Mongoliya, Uzoq Sharq, O'rta Osiyo","Inderskie tog'lari, Ustyurt, Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy, Kopetdog'",Barcha tog'li hududlar,,"Hisor, Zomin, Kitob, Nurota, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'lari",false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Dryopteris  Adans.,Щитовник,Dryopteris filix-mas (L.) Schott,"щитовник мужской, щитовник аптечный",erkak emanqulog'i,http://www.plantarium.ru/page/view/item/13752.html,ko'p yillik,nam va soya joylar,"tekislik, tog'oldi, past tog'lar, o'rta tog'lar",dorivor,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Ustyurt (Bugurustan), Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy.","tizmalari Qorajontov, Ugom, Piskom, Maydontol, Chotqol, Turkiston, Zarafshon, Hisor, Ko'hitang, plato Ustyurt (chink)",,"Zomin, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains",лекарственное,medicinal
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Dryopteris  Adans.,Щитовник,Dryopteris komarovii Kossinsky,щитовник Комарова,komarov emanqulog'i,,ko'p yillik,qoyalar,o'rta tog'lar,foydalanilmaydi,"g'arbiy Tyanshan, g'arbiy Pomir-Oloy, Kopetdog'","g'arbiy Tyanshan, Pomir-Oloy (havzasi. d. Zarafshon), Kopetdog'",,O'rta Osiyo endemigi,,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Dryopteris  Adans.,Щитовник,Dryopteris thelypteris (L.) A. Gray,щитовник болотный,botqoq emanqulog'i,http://www.plantarium.ru/page/view/item/38143.html,ko'p yillik,"suv havzalari qirg'oqlari, botqoqlar",tekislik,foydalanilmaydi,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"bo'ylab vodiylar daryolar o'rta Osiyo, bundan tashqari srednego va verxnego techeniya d. Amudaryo va uning irmoqlar va daryolar Turkmenii","bo'ylab vodiylar daryolar, bundan tashqari srednego va verxnego techeniya d. Amudaryo va uning irmoqlar, chinke Ustyurt",,,false,многолетнее,perennial,равнина,plain,не используется,not used
