division_lat,division_ru,class_lat,class_ru,order_lat,order_ru,family_lat,family_ru,family_takhtajan,genus_lat,genus_ru,species_sci,species_ru,species_uz,plantarium_url,life_form,habitat_env,habitat_place,usage,range_world,range_central_asia,range_uzbekistan,endemism,protected_areas,red_book,life_form_ru,life_form_en,habitat_place_ru,habitat_place_en,usage_ru,usage_en,habitat_env_ru,habitat_env_en,range_world_ru,range_world_en,range_central_asia_ru,range_central_asia_en,range_uzbekistan_ru,range_uzbekistan_en
EQUISETOPHYTA,ХВОЩЕОБРАЗНЫЕ (ХВОЩЕВИДНЫЕ),Equisetopsida,Хвощовые (Хвощевые),Equisetales,Хвощовые (Хвощевые),Equisetaceae,Хвощевые,Equisetaceae,Equisetum L.,Хвощ,Equisetum arvense L.,хвощ полевой,dala qirqbo'g'imi,http://www.plantarium.ru/page/view/item/14673.html,ko'p yillik,"suv havzalari qirg'oqlari, botqoqlar, sazliklar, zax joylar","tekislik, tog'oldi, past tog'lar",dorivor,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Butun O'rta Osiyo bo'ylab, Kopetdog'da kamdan-kam","Butun O'zbekiston bo'ylab, suvsiz cho'l hududlaridan tashqari",,"Hisor, Zomin, Zarafshon, Kitob, Nurota, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'lari",false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains",лекарственное,medicinal,"берега водоёмов, болота, заболоченные места, сырые места","shores of water bodies, swamps, marshy places, damp places",умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),"по всей Средней Азии, в Копетдаге редко","throughout Central Asia, in Kopet Dag rarely","по всему Узбекистану, кроме безводных пустынных районов","throughout Uzbekistan, except waterless desert areas"
EQUISETOPHYTA,ХВОЩЕОБРАЗНЫЕ (ХВОЩЕВИДНЫЕ),Equisetopsida,Хвощовые (Хвощевые),Equisetales,Хвощовые (Хвощевые),Equisetaceae,Хвощевые,Equisetaceae,Equisetum L.,Хвощ,Equisetum hyemale L.,хвощ зимующий,qishlovchi qirqbo'g'im,http://www.plantarium.ru/page/view/item/14678.html,ko'p yillik,"botqoqlar, sazliklar, zax joylar",o'rta tog'lar,dorivor,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Tarbag'atoy, Jung'or Olatovi, sharqiy va markaziy Tyanshan",Piskom tizmasi,,Ugom-Chotqol milliy tabiat bog'i,false,многолетнее,perennial,среднегорья,mid mountains,лекарственное,medicinal,"болота, заболоченные места, сырые места","swamps, marshy places, damp places",умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),"Тарбагатай, Джунгарский Алатау, восточный и центральный Тянь-Шань","Tarbagatai, Dzungarian Alatau, eastern and central Tian Shan",Пскем хребет,Pskem range
EQUISETOPHYTA,ХВОЩЕОБРАЗНЫЕ (ХВОЩЕВИДНЫЕ),Equisetopsida,Хвощовые (Хвощевые),Equisetales,Хвощовые (Хвощевые),Equisetaceae,Хвощевые,Equisetaceae,Equisetum L.,Хвощ,Equisetum ramosissimum Desf.,хвощ ветвистый,"shoxlangan qirqbo'g'im, tarnovcho'p",http://www.plantarium.ru/page/view/item/14689.html,ko'p yillik,"suv havzalari qirg'oqlari, botqoqlar, sazliklar, zax joylar, sholipoyalar","tekislik, tog'oldi, past tog'lar","dorivor, yem-xashakbop",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),Butun O'rta Osiyo bo'ylab,"Butun O'zbekiston bo'ylab, suvsiz cho'l hududlaridan tashqari",,"Hisor, Zomin, Zarafshon, Kitob, Qizilqum, Nurota, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'lari, Quyi Amudaryo biosfera rezervati",false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains","лекарственное, кормовое","medicinal, fodder","берега водоёмов, болота, заболоченные места, сырые места, рисовые поля","shores of water bodies, swamps, marshy places, damp places, rice fields",умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),по всей Средней Азии,throughout Central Asia,"по всему Узбекистану, кроме безводных пустынных районов","throughout Uzbekistan, except waterless desert areas"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Psilotopsida,Псилотовые,Ophioglossales,Ужовниковые,Ophioglossaceae,Ужовниковые,Ophioglossaceae,Ophioglossum L.,Ужовник,Ophioglossum bucharicum O. Fedtsch. & B. Fedtsch.,ужовник бухарский,Buxoro ilontili,,ko'p yillik,to'qaylar,tekislik,foydalanilmaydi,O'rta Osiyo (janubiy qismi),"vodiy d. Pyanj (Mitek - to'qaylar orasida tomon. tomon. Sayat va Chubek), vodiy d. Amudaryo (mavze Xatin-rabat, 20 km yuqorisida sh. Termiz, yuqorisida sh. Kerki)",vodiy d. Amudaryo yaqinida sh. Termiz,O'rta Osiyo endemigi,yo'q,false,многолетнее,perennial,равнина,plain,не используется,not used,тугаи,tugai forests,средний Азия (южный часть),middle Asia (southern part),"долина р. Пяндж (Митек - тугаи между к. к. Саят и Чубек), долина р. Амударья (местность Хатин-рабат, 20 км выше г. Термез, выше г. Керки)","valley r. Panj (Mitek - tugai forests between towards. towards. Sayat and Chubek), Amu Darya valley (locality Xatin-rabat, 20 km above c. Termez, above c. Kerki)",долина р. Амударья вблизи г. Термез,valley r. Amu Darya near c. Termez
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Psilotopsida,Псилотовые,Ophioglossales,Ужовниковые,Ophioglossaceae,Ужовниковые,Ophioglossaceae,Ophioglossum L.,Ужовник,Ophioglossum vulgatum L.,ужовник обыкновенный,oddiy ilontili,http://www.plantarium.ru/page/view/item/25592.html,ko'p yillik,"suv havzalari qirg'oqlari, botqoqlar, zax joylar","tekislik, tog'oldi, past tog'lar",foydalanilmaydi,"Yevropa, G'arbiy Sibir, Uzoq Sharq, Kavkaz, O'rta Osiyo, Shimoliy Afrika","Tyanshan (vodiy d. Talas: atrofi q. Grodekovo, tog'lari Ak-tekenda, d. Kunduzdi, Farg'ona tizmasi: d. Kugart, yaqinida q. Taran-bazar, atrofi sh. Toshkent), Pomir-Oloy (Zarafshon tizmasi, yuqori oqimi d. Ayakchi) Tarqoq holda.","atrofi sh. Toshkent, g'arbiy qismi Zarafshon tizmasi",,yo'q,false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains",не используется,not used,"берега водоёмов, болота, сырые места","shores of water bodies, swamps, damp places","Европа, Западная Сибирь, Дальний Восток, Кавказ, Средняя Азия, Северная Африка","Europe, Western Siberia, Far East, Caucasus, Central Asia, North Africa","Тянь-Шань (долина р. Талас: окрестности с. Гродеково, горы Ак-текенда, р. Кундузди, Фергана хребет: р. Кугарт, вблизи с. Таран-базар, окрестности г. Ташкент), Памиро-Алай (Зарафшан хребет, верхний течение р. Аякчи) рассеянно в состоянии.","Tian Shan (valley r. Talas: surroundings vil. Grodekovo, mountains Ak-tekenda, r. Kunduzdi, Fergana range: r. Kugart, near vil. Taran-bazar, surroundings c. Tashkent), Pamir-Alai (Zarafshan range, upper course r. Ayakchi) scattered in state.","окрестности г. Ташкент, западный часть Зарафшан хребет","surroundings c. Tashkent, western part Zarafshan range"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Psilotopsida,Псилотовые,Ophioglossales,Ужовниковые,Ophioglossaceae,Ужовниковые,Ophioglossaceae,Botrychium Sw.,Гроздовик,Botrychium lunaria (L.) Sw.,гроздовик полулунный,yarimoy ro'vako't,http://www.plantarium.ru/page/view/item/6769.html,ko'p yillik,"o'tloqlar, morenalar","o'rta tog'lar, baland tog'lar",foydalanilmaydi,"Yevropa, g'arbiy, shimoliy, O'rta Osiyo, Markaziy Osiyo, shimoliy va Janubiy Amerika, Avstraliya","Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy","tizmalari Ugom, Piskom, Maydontol, Chotqol, Turkiston, Zarafshon, Hisor, Ko'hitang",,"Hisor, Zomin, Surxon qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'lari",false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used,"луга, морены","meadows, moraines","Европа, западный, северный, Средняя Азия, центральный Азия, северный и южный Америка, Австралия","Europe, western, northern, Central Asia, central Asia, northern and southern America, Australia","Тарбагатай, Джунгарский Алатау, Тянь-Шань, Памиро-Алай","Tarbagatai, Dzungarian Alatau, Tian Shan, Pamir-Alai","хребты Угам, Пскем, Майдантал, Чаткал, Туркестан, Зарафшан, Гиссар, Кугитанг","ranges Ugam, Pskem, Maydantal, Chatkal, Turkestan, Zarafshan, Hissar, Kugitang"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,"Cystopteridaceae (Woodsiaceae, Athyriaceae)","Пузырниковые (Вудсиевые, Кочедыжниковые)",Polypodiaceae,Cystopteris Berh.,Пузырник,Cystopteris fragilis (L.) Bernh.,пузырник ломкий,mo'rt pufakquloq,http://www.plantarium.ru/page/view/item/12413.html,ko'p yillik,nam va soya joylar,"past tog'lar, o'rta tog'lar",foydalanilmaydi,"Yevropa, Mongoliya, Uzoq Sharq, O'rta Osiyo","Inderskie tog'lari, Ustyurt, Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy, Kopetdog'",Barcha tog'li hududlar,,"Hisor, Zomin, Kitob, Nurota, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'lari",false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",не используется,not used,влажные и тенистые места,moist and shady places,"Европа, Монголия, Дальний Восток, Средняя Азия","Europe, Mongolia, Far East, Central Asia","Индерские горы, Устюрт, Тарбагатай, Джунгарский Алатау, Тянь-Шань, Памиро-Алай, Копетдаг","Inderskie mountains, Ustyurt, Tarbagatai, Dzungarian Alatau, Tian Shan, Pamir-Alai, Kopet Dag",все горные районы,all mountainous regions
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Dryopteris  Adans.,Щитовник,Dryopteris filix-mas (L.) Schott,"щитовник мужской, щитовник аптечный",erkak emanqulog'i,http://www.plantarium.ru/page/view/item/13752.html,ko'p yillik,nam va soya joylar,"tekislik, tog'oldi, past tog'lar, o'rta tog'lar",dorivor,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Ustyurt (Bugurustan), Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy.","tizmalari Qorajontov, Ugom, Piskom, Maydontol, Chotqol, Turkiston, Zarafshon, Hisor, Ko'hitang, plato Ustyurt (chink)",,"Zomin, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains",лекарственное,medicinal,влажные и тенистые места,moist and shady places,умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),"Устюрт (Бугурустан), Тарбагатай, Джунгарский Алатау, Тянь-Шань, Памиро-Алай.","Ustyurt (Bugurustan), Tarbagatai, Dzungarian Alatau, Tian Shan, Pamir-Alai.","хребты Каржантау, Угам, Пскем, Майдантал, Чаткал, Туркестан, Зарафшан, Гиссар, Кугитанг, плато Устюрт (чинк)","ranges Karzhantau, Ugam, Pskem, Maydantal, Chatkal, Turkestan, Zarafshan, Hissar, Kugitang, plateau Ustyurt (chink)"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Dryopteris  Adans.,Щитовник,Dryopteris komarovii Kossinsky,щитовник Комарова,komarov emanqulog'i,,ko'p yillik,qoyalar,o'rta tog'lar,foydalanilmaydi,"g'arbiy Tyanshan, g'arbiy Pomir-Oloy, Kopetdog'","g'arbiy Tyanshan, Pomir-Oloy (havzasi. d. Zarafshon), Kopetdog'",,O'rta Osiyo endemigi,,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used,скалы,rocks,"Западный Тянь-Шань, Западный Памиро-Алай, Копетдаг","Western Tian Shan, Western Pamir-Alai, Kopet Dag","Западный Тянь-Шань, Памиро-Алай (бассейн. р. Зарафшан), Копетдаг","Western Tian Shan, Pamir-Alai (basin. r. Zarafshan), Kopet Dag",,
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Dryopteris  Adans.,Щитовник,Dryopteris thelypteris (L.) A. Gray,щитовник болотный,botqoq emanqulog'i,http://www.plantarium.ru/page/view/item/38143.html,ko'p yillik,"suv havzalari qirg'oqlari, botqoqlar",tekislik,foydalanilmaydi,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"bo'ylab vodiylar daryolar o'rta Osiyo, bundan tashqari srednego va verxnego techeniya d. Amudaryo va uning irmoqlar va daryolar Turkmenii","bo'ylab vodiylar daryolar, bundan tashqari srednego va verxnego techeniya d. Amudaryo va uning irmoqlar, chinke Ustyurt",,,false,многолетнее,perennial,равнина,plain,не используется,not used,"берега водоёмов, болота","shores of water bodies, swamps",умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),"вдоль долины реки средний Азия, кроме того кроме среднего и верхнего течения р. Амударья и его притоки и реки Туркмении","along valleys rivers middle Asia, besides except srednego and verxnego current r. Amu Darya and its tributaries and rivers Turkmenii","вдоль долины реки, кроме того кроме среднего и верхнего течения р. Амударья и его притоки, чинке Устюрт","along valleys rivers, besides except srednego and verxnego current r. Amu Darya and its tributaries, chinke Ustyurt"
